province,division,year,population
Alberta,Division No. 10,2001,83061
Alberta,Division No. 10,2011,93039
Ontario,Timiskaming,2001,34442
Ontario,Sudbury,2011,21196
New Brunswick,Sunbury,2011,27143
Quebec,Quebec,2006,525376
Quebec,Maskinonge,2011,36286
Alberta,Division No.  4,2001,11300
Ontario,Peel,2001,988958
Quebec,Les Pays-d'en-Haut,2006,36573
Alberta,Division No.  8,2001,153049
Quebec,Mirabel,2011,41957
British Columbia,North Okanagan,2006,77301
Alberta,Division No.  7,2001,40407
Newfoundland and Labrador,Division No.  6,2006,36208
New Brunswick,Saint John,2001,76407
Quebec,Le Val-Saint-Fran�ois,2011,29654
Quebec,Acton,2006,15289
Nova Scotia,Annapolis,2011,20756
Ontario,Kenora,2006,64419
Quebec,Arthabaska,2006,66247
British Columbia,Peace River,2006,58264
Quebec,Coaticook,2001,18419
Nova Scotia,Cumberland,2011,31353
Saskatchewan,Division No. 18,2011,36557
Manitoba,Division No.  3,2006,44873
Ontario,Halton,2011,501669
Saskatchewan,Division No.  2,2006,20363
Quebec,La Vallee-de-l'Or,2011,42896
Manitoba,Division No. 18,2011,23469
Prince Edward Island,Queens,2011,77866
Quebec,La Riviere-du-Nord,2006,101571
Quebec,Les Collines-de-l'Outaouais,2011,46393
Quebec,Le Haut-Saint-Fran�ois,2011,22065
Quebec,L'�le-d'Orleans,2001,6779
Ontario,Rainy River,2011,20370
New Brunswick,Gloucester,2006,78948
Manitoba,Division No.  7,2001,57148
Quebec,Maria-Chapdelaine,2001,26900
Alberta,Division No. 18,2006,14322
Quebec,Le Saguenay-et-son-Fjord,2011,165211
Quebec,Les Sources,2011,14756
Quebec,Le Rocher-Perce,2001,19298
Ontario,Hamilton,2001,490268
Quebec,Temiscamingue,2006,16985
Quebec,Matawinie,2006,49717
Alberta,Division No. 18,2001,14346
Ontario,Timiskaming,2006,33283
British Columbia,Bulkley-Nechako,2011,39208
Ontario,Nipissing,2011,84736
Quebec,L'Assomption,2001,103987
Quebec,Temiscouata,2011,20572
Quebec,Minganie--Le Golfe-du-Saint-Laurent,2006,11895
New Brunswick,Saint John,2006,74621
British Columbia,Central Okanagan,2011,179839
Northwest Territories,Inuvik,2001,8536
Alberta,Division No.  4,2006,10600
Ontario,Cochrane,2001,85247
Saskatchewan,Division No. 17,2006,40406
Ontario,Oxford,2001,99270
British Columbia,Mount Waddington,2011,11506
Ontario,Stormont: Dundas and Glengarry,2001,109522
Ontario,Manitoulin,2001,12679
Quebec,D'Autray,2001,38431
Nova Scotia,Kings,2001,58866
Ontario,Chatham-Kent,2011,104075
Ontario,Toronto,2011,2615060
Quebec,Longueuil,2006,385533
Saskatchewan,Division No. 18,2001,32029
Saskatchewan,Division No.  1,2001,30238
Nova Scotia,Shelburne,2001,16231
Quebec,Les Collines-de-l'Outaouais,2001,35188
Newfoundland and Labrador,Division No.  2,2006,22298
Saskatchewan,Division No.  9,2001,36895
Alberta,Division No. 16,2011,67516
Quebec,Antoine-Labelle,2011,35159
New Brunswick,Queens,2001,11862
Quebec,L'Amiante,2001,43247
Nova Scotia,Guysborough,2006,9058
Northwest Territories,Region 4,2011,3246
Ontario,Lambton,2011,126199
Newfoundland and Labrador,Division No. 10,2001,25230
Manitoba,Division No.  2,2011,65374
Quebec,Riviere-du-Loup,2006,33305
Quebec,Bonaventure,2011,18000
Quebec,Charlevoix,2001,13166
Quebec,Antoine-Labelle,2001,33456
British Columbia,Columbia-Shuswap,2006,50141
Saskatchewan,Division No. 10,2011,17546
Manitoba,Division No.  3,2011,51350
Manitoba,Division No.  9,2006,23086
Quebec,Gatineau,2011,265349
Quebec,Lac-Saint-Jean-Est,2011,52520
Nova Scotia,Halifax,2006,372858
Quebec,L'Assomption,2011,119840
Quebec,Sept-Rivieres--Caniapiscau,2001,38931
Quebec,Lac-Saint-Jean-Est,2001,51760
Manitoba,Division No. 18,2001,22593
Quebec,Montmagny,2011,22877
British Columbia,Fraser Valley,2006,257031
Quebec,Shawinigan,2011,50060
Newfoundland and Labrador,Division No.  2,2001,24371
Quebec,Levis,2006,130006
Quebec,Le Rocher-Perce,2011,17979
British Columbia,Powell River,2006,19599
Quebec,La Haute-Yamaska,2011,85042
Ontario,Greater Sudbury / Grand Sudbury,2006,157909
Manitoba,Division No. 13,2006,44829
Nunavut,Keewatin,2011,8955
Nova Scotia,Antigonish,2011,19589
British Columbia,Nanaimo,2006,138631
British Columbia,Greater Vancouver,2011,2313328
British Columbia,Capital,2011,359991
Quebec,Le Haut-Saint-Laurent,2006,21943
Quebec,Bellechasse,2006,33330
Quebec,Riviere-du-Loup,2001,31826
New Brunswick,Gloucester,2001,82929
Quebec,Avignon,2001,15268
New Brunswick,Charlotte,2011,26549
Ontario,Parry Sound,2011,42162
Quebec,Mekinac,2011,12924
New Brunswick,Victoria,2006,20319
Alberta,Division No. 14,2006,27881
Quebec,Les Pays-d'en-Haut,2001,30866
Quebec,La C�te-de-Beaupre,2006,23015
Saskatchewan,Division No.  8,2001,30720
New Brunswick,Madawaska,2006,34071
Quebec,Les Pays-d'en-Haut,2011,40331
Quebec,Argenteuil,2011,32117
Prince Edward Island,Kings,2001,19180
Quebec,Manicouagan,2006,33052
Ontario,Chatham-Kent,2006,108589
Alberta,Division No.  3,2011,38566
Nova Scotia,Antigonish,2006,18836
Manitoba,Division No. 16,2006,9945
New Brunswick,Westmorland,2001,124688
Quebec,Robert-Cliche,2001,18771
British Columbia,Cowichan Valley,2011,80332
Manitoba,Division No.  4,2006,9380
Quebec,Le Bas-Richelieu,2001,50081
Quebec,Avignon,2011,15246
Manitoba,Division No. 22,2001,35077
British Columbia,Capital,2006,345164
Ontario,Bruce,2001,63892
Alberta,Division No.  7,2006,39909
Ontario,Kenora,2011,57607
Ontario,York,2006,892712
Manitoba,Division No. 11,2006,636177
Newfoundland and Labrador,Division No.  1,2006,248418
Alberta,Division No. 15,2006,34150
Nova Scotia,Annapolis,2006,21438
Northwest Territories,Region 2,2006,2474
Quebec,Nord-du-Quebec,2001,38575
Quebec,La Jacques-Cartier,2011,36883
Quebec,Arthabaska,2011,69237
British Columbia,Skeena-Queen Charlotte,2011,18784
Ontario,Huron,2006,59325
Saskatchewan,Division No. 15,2001,80668
Quebec,Sept-Rivieres--Caniapiscau,2006,38661
Nova Scotia,Colchester,2011,50968
Quebec,Brome-Missisquoi,2006,52769
Quebec,Acton,2011,15381
Newfoundland and Labrador,Division No.  9,2001,20091
British Columbia,Stikine,2001,1316
Quebec,Sherbrooke,2001,138785
Quebec,Les Moulins,2011,148813
Nova Scotia,Guysborough,2011,8143
Quebec,L'�rable,2011,23366
Quebec,La Haute-Yamaska,2001,79175
Ontario,Prescott and Russell,2001,76446
Quebec,L'�rable,2006,23158
Saskatchewan,Division No. 16,2011,37845
Newfoundland and Labrador,Division No.  6,2001,36208
Quebec,Charlevoix-Est,2006,16372
Quebec,Memphremagog,2006,45310
Quebec,Pierre-De Saurel,2006,49932
Manitoba,Division No. 15,2011,21604
Manitoba,Division No.  6,2011,10025
Quebec,Longueuil,2001,371934
Nova Scotia,Pictou,2006,46513
Quebec,Le Granit,2001,21830
Manitoba,Division No. 12,2006,19753
Nova Scotia,Cumberland,2006,32046
Quebec,Becancour,2001,19088
Manitoba,Division No. 11,2001,621451
Manitoba,Division No. 14,2001,17589
Northwest Territories,Fort Smith,2001,28824
Manitoba,Division No. 17,2011,22208
Quebec,La Tuque,2006,15448
Manitoba,Division No.  1,2006,17476
Manitoba,Division No.  8,2006,14052
Newfoundland and Labrador,Division No.  4,2006,21168
Saskatchewan,Division No.  6,2011,237746
Saskatchewan,Division No. 14,2011,37195
Nova Scotia,Cumberland,2001,32605
Quebec,Portneuf,2011,49370
British Columbia,Northern Rockies,2011,5578
Quebec,Antoine-Labelle,2006,34999
Ontario,Peterborough,2011,134933
British Columbia,Skeena-Queen Charlotte,2006,19664
Ontario,Hamilton,2011,519949
Ontario,Niagara,2011,431346
Alberta,Division No. 15,2001,34068
British Columbia,Kootenay Boundary,2011,31138
Saskatchewan,Division No. 11,2006,244273
Saskatchewan,Division No. 18,2006,33919
Ontario,Rainy River,2006,21564
Nova Scotia,Shelburne,2006,15544
Newfoundland and Labrador,Division No.  7,2001,37335
Prince Edward Island,Kings,2006,18608
Quebec,Argenteuil,2001,28931
Quebec,Therese-De Blainville,2001,130529
Quebec,Le Haut-Richelieu,2006,108892
Manitoba,Division No. 10,2001,9464
British Columbia,Kootenay Boundary,2006,30742
Ontario,Waterloo,2011,507096
Nova Scotia,Digby,2001,19548
Saskatchewan,Division No.  5,2011,32007
Nova Scotia,Yarmouth,2001,26843
Saskatchewan,Division No.  7,2011,46648
British Columbia,Squamish-Lillooet,2011,38171
Manitoba,Division No. 20,2011,9952
British Columbia,Comox Valley,2011,63538
Quebec,La Haute-Gaspesie,2006,12329
New Brunswick,York,2001,87212
Saskatchewan,Division No. 12,2001,23697
Ontario,Haldimand-Norfolk,2011,109118
Quebec,Longueuil,2011,399097
British Columbia,Cowichan Valley,2001,71998
New Brunswick,Restigouche,2006,33834
British Columbia,Central Coast,2001,3781
Ontario,Stormont: Dundas and Glengarry,2006,110399
Nova Scotia,Shelburne,2011,14496
Ontario,Greater Sudbury / Grand Sudbury,2001,155268
New Brunswick,Saint John,2011,76550
Quebec,Montreal,2006,1854442
Quebec,Les Laurentides,2006,42896
Manitoba,Division No. 22,2006,38421
British Columbia,Strathcona,2006,42113
British Columbia,Kitimat-Stikine,2001,40876
Manitoba,Division No. 21,2006,21606
Manitoba,Division No. 22,2011,40923
Nunavut,Baffin,2006,15765
Ontario,Thunder Bay,2006,149063
Manitoba,Division No.  1,2001,16432
Saskatchewan,Division No. 12,2006,22452
Ontario,Cochrane,2011,81122
Newfoundland and Labrador,Division No.  8,2011,37121
Quebec,Les Collines-de-l'Outaouais,2006,42005
Ontario,Prince Edward,2006,25496
British Columbia,North Okanagan,2011,81237
Quebec,Le Granit,2006,22342
Manitoba,Division No.  8,2011,14127
Alberta,Division No.  1,2006,74550
Saskatchewan,Division No.  3,2011,12691
Newfoundland and Labrador,Division No.  3,2011,16306
Ontario,Prescott and Russell,2006,80184
Ontario,Grey,2001,89073
Quebec,Les Moulins,2001,110092
Ontario,Waterloo,2006,478121
British Columbia,Sunshine Coast,2011,28619
Nova Scotia,Inverness,2001,19937
British Columbia,Kitimat-Stikine,2006,38476
Saskatchewan,Division No.  6,2006,220688
Northwest Territories,Region 4,2006,3330
Quebec,La Haute-C�te-Nord,2006,12303
Quebec,Charlevoix-Est,2001,16624
Manitoba,Division No. 21,2001,22556
Manitoba,Division No.  7,2006,59168
Saskatchewan,Division No. 14,2001,39476
Quebec,Temiscamingue,2001,17504
Quebec,Les Maskoutains,2001,78917
Quebec,Minganie--Basse-C�te-Nord,2001,12321
Quebec,Deux-Montagnes,2001,81417
Saskatchewan,Division No.  3,2001,14839
Quebec,Vaudreuil-Soulanges,2006,120395
Prince Edward Island,Prince,2006,44499
Ontario,Peterborough,2001,125856
Quebec,Pierre-De Saurel,2011,50900
Ontario,Parry Sound,2001,39665
Quebec,Beauharnois-Salaberry,2001,59137
Quebec,La Nouvelle-Beauce,2006,31415
Nunavut,Baffin,2001,14372
